編號,鄉鎮市區,主要用途,單價元坪,建築完成年
RPROMLLLNHOFFBA87DA,萬華區,住家用,277090.9090909091,""
RPTOMLRLNHOFFAA58DA,文山區,住家用,591742.1487603306,""
RPRPMLRJNHOFFFA68CA,大安區,住家用,680046.2809917355,060
RPRPMLSJNHOFFFA78CA,大安區,住家用,850191.7355371901,107
RPVNMLQJNHOFFFA78CA,大安區,住家用,1250019.8347107437,106
RPRNMLRJNHOFFFA48CA,大安區,住家用,672707.438016529,074
RPWNMLRJNHOFFFA98CA,大安區,住家用,969368.5950413223,""
RPQNMLLKNHOFFEA77CA,北投區,住家用,450585.12396694213,081
RPOPMLMLNHOFFEA97CA,北投區,住家用,670545.4545454546,108
RPQPMLMLNHOFFEA18CA,北投區,住家用,659345.4545454546,108
RPRNMLSLNHOFFEA68CA,北投區,住家用,557315.7024793389,108
RPSOMLOJOHOFFEA38CA,北投區,住家用,351927.27272727276,075
RPTPMLSJNHOFFEA88CA,北投區,住家用,741583.4710743802,107
RPUPMLSJNHOFFEA98CA,北投區,住家用,738155.3719008265,107
RPVPMLSJNHOFFEA09CA,北投區,住家用,732231.4049586777,107
RPVOMLRKNHOFFEA98CA,北投區,住家用,280254.54545454547,083
RPTNMLRJNHOFFEA58CA,北投區,住家用,427077.68595041323,074
RPROMLRJNHOFFEA48CA,北投區,住家用,691527.2727272727,056
RPTOMLRLNHOFFDA78CA,松山區,住家用,494181.8181818182,065
RPRNMLRJNHOFFEA38CA,北投區,住家用,510132.2314049587,099
RPOPMLOKNHOFFDA97CA,松山區,住家用,641775.2066115703,""
RPWOMLTJNHOFFDA09CA,南港區,住家用,742469.4214876033,103
RPPOMLKKNHOFFDA57CA,信義區,住家用,680433.0578512397,074
RPUNMLRJNHOFFDA58CA,信義區,住家用,724036.3636363636,086
RPQPMLRJNHOFFDA38CA,松山區,住家用,607963.6363636364,095
RPPNMLQKNHOFFCA97CA,內湖區,住家用,627547.1074380166,083
RPUOMLPKNHOFFCA48CA,內湖區,住家用,728284.2975206611,107
RPVQMLKKNHOFFCA28CA,內湖區,住家用,662859.5041322315,083
RPUNMLRJNHOFFCA48CA,中山區,住家用,623424.7933884298,097
RPXQMLRJNHOFFCA09CA,內湖區,住家用,709176.8595041323,102
RPSRMLRJNHOFFCA68CA,內湖區,住家用,799834.7107438017,107
RPVRMLRJNHOFFCA98CA,中山區,住家用,514188.42975206615,081
RPTNMLSJNHOFFCA48CA,中山區,住家用,699685.9504132231,065
RPWNMLSJNHOFFCA78CA,中山區,住家用,480026.4462809918,060
RPSQMLQJNHOFFCA48CA,內湖區,住家用,497312.3966942149,098
RPUQMLQJNHOFFCA68CA,中山區,住家用,430168.59504132235,072
RPQNMLRJNHOFFCA08CA,內湖區,住家用,515378.5123966942,094
RPRNMLRJNHOFFCA18CA,內湖區,住家用,502747.10743801657,084
RPRPMLRJNHOFFCA38CA,內湖區,住家用,704872.7272727273,107
RPTPMLRJNHOFFCA58CA,中山區,住家用,982766.9421487603,073
RPUPMLRJNHOFFCA68CA,中山區,住家用,946876.0330578513,055
RPVNMLQKNHOFFBA48CA,萬華區,住家用,551871.0743801653,""
RPUPMLKKNHOFFAA87CA,文山區,住家用,553689.2561983471,097
RPWOMLRJNHOFFBA68CA,大同區,住家用,469375.20661157026,079
RPOOMLPJOHOFFAA67CA,文山區,住家用,637395.0413223141,100
RPVNMLSJNHOFFAA48CA,文山區,住家用,369395.04132231406,071
RPXNMLSJNHOFFAA68CA,文山區,住家用,426208.26446280995,069
RPUOMLKKNHOFFAA77CA,文山區,住家用,433930.5785123967,097
RPOOMLTJNHOFFAA97CA,中正區,住家用,639811.5702479339,095
RPROMLTJNHOFFAA28CA,文山區,住家用,481355.37190082646,100
RPPNMLSJNHOFFAA87CA,文山區,住家用,388611.5702479339,""
RPPOMLNJNHOFFBC77CA,中正區,住家用,88161.98347107439,083
RPPNMLOJNHOFFBC77CA,信義區,住家用,123570.2479338843,081
RPTNMLMJNHOFFBC97CA,信義區,住家用,180472.72727272726,069
RPUNMLRKNHOFFBC68CA,信義區,住家用,128092.56198347108,071
RPSNMLKLNHOFFBC87CA,信義區,住家用,106446.28099173553,063
RPTNMLMLNHOFFBC18CA,中正區,住家用,191824.79338842977,""
RPSNMLMJNHOFFBC97DA,中正區,住家用,91480.99173553719,070
RPPNMLNLNHOFFBC87CA,中正區,住家用,103877.68595041323,088
RPQNMLQLNHOFFBC28CA,中正區,住家用,48224.79338842975,069
RPUNMLMLNHOFFBC28CA,中正區,住家用,126257.85123966943,087
RPRNMLSJNHOFFBC38CA,中正區,住家用,78452.89256198348,074
RPUNMLQJNHOFFBC48CA,中正區,住家用,158178.51239669422,086
RPPNMLOKNHOFFBC87CA,中正區,住家用,110330.57851239669,097
RPSOMLRJNHOFFCC58CA,中山區,住家用,166780.1652892562,086
RPWNMLNJNHOFFBC48DA,中正區,住家用,162614.87603305787,085
RPSNMLTKNHOFFCC78CA,中山區,住家用,75474.38016528926,080
RPVNMLOKNHOFFBC48CA,中正區,住家用,119233.05785123968,088
RPQQMLNKNHOFFBC18CA,信義區,住家用,259692.5619834711,003
RPPNMLKKNHOFFBC47CA,信義區,住家用,177553.71900826448,072
RPUNMLTJNHOFFBC78CA,中正區,住家用,103120.66115702479,087
RPQNMLSJNHOFFBC28CA,中正區,住家用,179920.6611570248,066
RPSNMLQKNHOFFBC38CA,中正區,住家用,93557.02479338844,067
RPOOMLMLNHOFFBC77CA,信義區,住家用,100723.96694214876,084
RPSOMLNJOHOFFBC18CA,中正區,住家用,89190.0826446281,085
RPQNMLTLNHOFFCC68CA,中山區,住家用,124684.29752066116,062
